"Sample_ID","NAT_LOC","Sample_type","WaterYear","Site_name","River","Watershed","Lat_dd","Long_dd","Source","Sr8786","SD"
"FEA16003","FEA","otolith_juvenile",2019,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706128373592597,NA
"FEA18001","FEA","otolith_juvenile",2018,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706648625422914,NA
"FEA18002","FEA","otolith_juvenile",2018,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706752019770592,NA
"FEA18004","FEA","otolith_juvenile",2018,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.70610624692944,NA
"FEA18005","FEA","otolith_juvenile",2018,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706293260699955,NA
"FEA18006","FEA","otolith_juvenile",2018,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706479830178619,NA
"FEA19001","FEA","otolith_juvenile",2019,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.70626608468397,NA
"FEA19002","FEA","otolith_juvenile",2019,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706479799032934,NA
"FEA19003","FEA","otolith_juvenile",2019,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706221982892677,NA
"FEA19004","FEA","otolith_juvenile",2019,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.7072014752653,NA
"FEA19006","FEA","otolith_juvenile",2019,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706568255708819,NA
"FEA19007","FEA","otolith_juvenile",2019,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.707198830819967,NA
"FEA19008","FEA","otolith_juvenile",2019,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.706478014101453,NA
"FEA19009","FEA","otolith_juvenile",2019,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.70739474032508,NA
"FEA19010","FEA","otolith_juvenile",2019,"Feather River","Feather River","Feather River",39.485643,-121.578279,"This study",0.707404759407746,NA
"FEH042114-1","FEH","otolith_juvenile",2014,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.7074038115,NA
