"Sample_ID","NAT_LOC","Sample_type","WaterYear","Site_name","River","Watershed","Lat_dd","Long_dd","Source","Sr8786","SD"
"CWT15032","MEH","otolith_cwt",2015,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7085686984004,NA
"CWT15033","CNH","otolith_cwt",2015,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705166077053246,NA
"CWT15034","MEH","otolith_cwt",2015,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708538022386397,NA
"CWT15036","MEH","otolith_cwt",2015,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708681845879316,NA
"CWT15037","MEH","otolith_cwt",2015,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708727113663044,NA
"CWT15038","MEH","otolith_cwt",2015,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708544353164853,NA
"CWT15219","MOH","otolith_cwt",1999,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.7076750875,NA
"CWT15765","MEH","otolith_cwt",2001,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7086669505,NA
"CWT15901","MOH","otolith_cwt",2001,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707632884,NA
"CWT15992","MOH","otolith_cwt",2001,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707587259,NA
"CWT16016","MOH","otolith_cwt",2001,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707543008,NA
"CWT16024","MOH","otolith_cwt",2001,"Mokelumne River Fish Facility","Mokelumne River","Mokelumne River",38.226497,-121.028054,"This study",0.707559808,NA
"CWT16095","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707436259691548,NA
"CWT16096","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707376566313251,NA
"CWT16100","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.70724535265331,NA
"CWT16101","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707371585327065,NA
"CWT16102","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707675127540238,NA
"CWT16103","NIH","otolith_cwt",2016,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"This study",0.709694675486969,NA
"CWT16104","NIH","otolith_cwt",2016,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"This study",0.709901167116019,NA
"CWT16105","NIH","otolith_cwt",2016,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"This study",0.709797423227495,NA
"CWT16106","MEH","otolith_cwt",2016,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708325938923347,NA
"CWT16107","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707297847431476,NA
"CWT16110","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.70749692380904,NA
"CWT16111","NIH","otolith_cwt",2016,"Nimbus Hatchery","American River","American River",38.635337,-121.226091,"This study",0.709939662433013,NA
"CWT16112","MEH","otolith_cwt",2016,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.70850309781354,NA
"CWT16113","MEH","otolith_cwt",2016,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708578429041664,NA
"CWT16114","MEH","otolith_cwt",2016,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708575364750513,NA
"CWT16117","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707630467937379,NA
"CWT16118","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707517722923242,NA
"CWT16119","MEH","otolith_cwt",2016,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.70851777650639,NA
"CWT16121","CNH","otolith_cwt",2016,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705579777357713,NA
"CWT16127","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707304749766001,NA
"CWT16129","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.707017563941437,NA
"CWT16130","CNH","otolith_cwt",2016,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705762347634721,NA
"CWT16131","FEH","otolith_cwt",2016,"Feather River Hatchery","Feather River","Feather River",39.517296,-121.55289,"This study",0.70703033377554,NA
"CWT16132","CNH","otolith_cwt",2016,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705587731501742,NA
"CWT16133","CNH","otolith_cwt",2016,"Coleman National Fish Hatchery","Battle Creek","Lassen Tributaries",40.398198,-122.145263,"This study",0.705553566472419,NA
"CWT16292","MEH","otolith_cwt",2001,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708549126,NA
"CWT16316","MEH","otolith_cwt",2001,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.708654515,NA
"CWT16335","MEH","otolith_cwt",2001,"Merced River Fish Hatchery","Merced River","Merced River",37.516122,-120.372589,"This study",0.7085332125,NA
